,mpa_id,search,plan_id,notes,network,name,orig_name,country,sovereign,sub_locati,designatio,designat_1,designat_2,marine,status,status_yea,no_take,no_take_ar,rep_m_area,calc_m_are,rep_area,calc_area,fishing,fishing_in
474,5388,F,10,NA,Raja Ampat Marine Protected Area Network,Southeast Misool (Raja Ampat),Misool Timur Selatan (Raja Ampat),IDN,IDN,Not Reported,Kawasan Konservasi Perairan Daerah,Locally Managed Marine Area,National,2,Designated,2009,Part,1212,3350,3213.93081,3350,3324.166452,Some Restrictions,Restricted in no-take area shown here: http://daramproject.org/site/#maps/notake
649,6034,F,11,NA,NA,Arnavon Islands,Arnavon Islands,SLB,SLB,Not Reported,Community Conserved Area,Community Conserved Area,National,2,Designated,1995,All,150.0412676,169,150.0412676,169,153.5258174,No,Line fishing for reef fish within the Park is allowed for subsistence only.
701,8826,F,12,NA,PMNM,Midway Atoll,NA,USA,USA,US-HI,National Wildlife Refuge,National Wildlife Refuge,National,1,Designated,1988,All,2350.040641,2365,2350.040641,2365,2356.516303,No,Commercial and Recreational Fishing Prohibited
705,8338,F,12,NA,NA,Papahānaumokuākea,NA,USA,USA,US-HI,Marine National Monument,Marine National Monument,National,1,Designated,2006,All,362158.6607,1508870,362158.6607,1508870,362171.9821,No,Commercial Fishing Prohibited throughout. Recreational fishing strongly regulated in expanded area.
1394,68808390,F,12,NA,NA,Papahānaumokuākea 2016 Expansion,NA,USA,USA,US-HI,Marine National Monument,Marine National Monument,National,1,Designated,2016,All,1146564.808,0,1146564.808,1508870,1146564.809,Some Restrictions,The proclamation prohibits commercial fishing and anchoring on coral but allows regulated Native Hawaiian practices and non-commercial fishing. The Western Pacific Regional Fishery Management Council is tasked with recommending fishing regulations for th
713,7680,F,13,NA,"Greater Farallones National Marine Sanctuary, California MPA Network",North Farallon Islands,NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2010,All,46.81392986,46,46.81392986,46,46.81392986,No,Take of all living marine resources is prohibited. Commercial and Recreational Fishing Prohibited
714,7679,F,13,NA,"Greater Farallones National Marine Sanctuary, California MPA Network",Southeast Farallon Island,NA,USA,USA,US-CA,Special Closure,Special Closure,National,1,Designated,2010,All,0.2703158028,0,0.2703158028,0,0.4772047376,No,Commercial and Recreational Fishing Prohibited
715,7678,F,13,NA,"Greater Farallones National Marine Sanctuary, California MPA Network",North Farallon Islands,NA,USA,USA,US-CA,Special Closure,Special Closure,National,1,Designated,2010,All,0.5513367708,0,0.5513367708,0,0.5513367708,No,Commercial and Recreational Fishing Prohibited
721,7669,F,13,NA,"Greater Farallones National Marine Sanctuary, California MPA Network",Southeast Farallon Island,NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2010,All,13.60012846,13,13.60012846,13,13.87065874,No,Commercial and Recreational Fishing Prohibited
722,7665,F,13,NA,"Greater Farallones National Marine Sanctuary, California MPA Network",Point Reyes,NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2010,All,23.98580476,24,23.98580476,24,24.739454,No,"Commercial and Recreational Fishing Prohibited
Take of all living marine resources is prohibited.
Commercial and Recreational Fishing Prohibited"
725,7659,F,13,NA,"Greater Farallones National Marine Sanctuary, California MPA Network",Bodega Head,NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2010,All,23.72372304,24,23.72372304,24,24.19670946,No,"Commercial and Recreational Fishing Prohibited.
Take of all living marine resources is prohibited.
Commercial and Recreational Fishing Prohibited"
727,7653,F,13,NA,"Greater Farallones National Marine Sanctuary, California MPA Network",Stewarts Point,NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2010,All,61.59095908,62,61.59095908,62,62.31523174,No,Commercial and Recreational Fishing Prohibited
728,7652,F,13,NA,"Greater Farallones National Marine Sanctuary, California MPA Network",Del Mar Landing,NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2010,All,0.4747869914,0,0.4747869914,0,0.560059251,No,Commercial and Recreational Fishing Prohibited
729,7648,F,13,NA,"Greater Farallones National Marine Sanctuary, California MPA Network",Point Arena,NA,USA,USA,US-CA,State Marine Reserve,State Marine Reserve,National,1,Designated,2010,All,11.09678537,11,11.09678537,11,11.33858605,No,"Commercial and Recreational Fishing Prohibited.
Take of all living marine resources is prohibited. 
Commercial and Recreational Fishing Prohibited"
1387,68808752,F,14,NA,Great Barrier Reef Marine Park,Great Barrier Reef,Great Barrier Reef,AUS,AUS,AU-COM,Marine Park,Marine Park,National,2,Designated,2004,All,114166.778,114309,114166.778,114309,114309.8519,No,No commercial or recreational fishing allowed.
225,14558,NI-FP,NA,NA,NA,Adelaide Dolphin Sanctuary,Adelaide Dolphin Sanctuary,AUS,AUS,AU-SA,Dolphin Sanctuary,Dolphin Sanctuary,National,1,Designated,0,Part,7.975672086,118,79.75672086,118,118.7503526,Unknown,NA
1391,7700301,F,14,NA,Great Barrier Reef Marine Park,Great Barrier Reef,Great Barrier Reef,AUS,AUS,AU-COM,Marine Park,Marine Park,National,2,Designated,2004,All,856.8207131,859,856.8207131,859,859.5254831,Some Restrictions,All fishing methods are allowed. Some activities require permits.
1389,68808376,F,14,NA,Great Barrier Reef Marine Park,Great Barrier Reef - Marine National Park Zone,Great Barrier Reef,AUS,AUS,AU-QLD,Marine Park,Marine Park,National,1,Designated,2004,All,114163.9674,0,114163.9674,345000,114216.051,No,"The Marine National Park (Green) Zone is a 'no-take' area and extractive activities like fishing or collecting are not allowed without a permit.
The Marine National Park (Green) Zone makes up about 33 per cent of the Great Barrier Reef Marine Park."
1388,68808377,F,14,NA,Great Barrier Reef Marine Park,Great Barrier Reef - Preservation Zone,NA,AUS,AUS,AU-QLD,Marine Park,Marine Park,National,1,Designated,2004,All,705.8881579,0,705.8881579,345000,706.4163681,No,"The Preservation (Pink) Zone is a 'no go' area. A person cannot enter a Preservation (Pink) Zone unless they have written permission and extractive activities are strictly prohibited.
A permit is required to conduct research in this zone. Research may o"
1390,68808375,F,14,NA,Great Barrier Reef Marine Park,Great Barrier Reef - Scientific Research Zone,Great Barrier Reef,AUS,AUS,AU-QLD,Marine Park,Marine Park,National,1,Designated,2004,All,150.9034914,0,150.9034914,345000,152.956839,No,No commercial or recreational fishing allowed.
1385,68808833,F,14,NA,Great Barrier Reef Marine Park,Great Barrier Reef Coast,Great Barrier Reef Coast,AUS,AUS,AU-QLD,Marine Park,Marine Park,National,2,Designated,2004,Part,400.8756755,4084,4008.756755,4084,4084.444689,Unknown,NA
817,16067,F,15,NA,Turneffe Atoll Marine Reserve,Preservation Zone,Preservation Zone,BLZ,BLZ,BZ-BZ,Turneffe Atoll Marine Reserve,Turneffe Atoll Marine Reserve,National,1,Designated,2012,All,3.135616492,0,3.135616492,11,11.92378445,No,"The Preservation Zone follows the same regulations as those for the Conservation Zones, but are more restricted in terms of access
-No extractive fishing is allowed within the Conservation Zones
-No fishing, sport fishing, diving or any other water act"
818,16066,F,15,NA,Turneffe Atoll Marine Reserve,Long Bouge Conservation Zone,Long Bouge Conservation Zone,BLZ,BLZ,BZ-BZ,Turneffe Atoll Marine Reserve,Turneffe Atoll Marine Reserve,National,1,Designated,2012,All,3.707659383,0,3.707659383,8,8.782945886,No,"Conservation Zones follow the same regulations as those for the General Use Zone, but are more restricted in terms of activities, with additional regulations in place primarily ensuring a no-take regime and guiding tourism activities
-No extractive fish"
819,16065,F,15,NA,Turneffe Atoll Marine Reserve,Caye Brokel Conservation Zone,Caye Brokel Conservation Zone,BLZ,BLZ,BZ-BZ,Turneffe Atoll Marine Reserve,Turneffe Atoll Marine Reserve,National,2,Designated,2012,All,49.23841194,0,49.23841194,55,49.95315801,No,"Conservation Zones follow the same regulations as those for the General Use Zone, but are more restricted in terms of activities, with additional regulations in place primarily ensuring a no-take regime and guiding tourism activities
-No extractive fish"
820,16064,F,15,NA,Turneffe Atoll Marine Reserve,Cockroach-Grassy Caye Special Mangement Area,Cockroach-Grassy Caye Special Mangement Area,BLZ,BLZ,BZ-BZ,Turneffe Atoll Marine Reserve,Turneffe Atoll Marine Reserve,National,2,Designated,2012,Not Reported,0,0,8.322388984,8,8.879234196,Some Restrictions,"The Special Management Areas follow the same regulations as those for the General Use Zone, but with the following exceptions:
-Zone IIB Harvesting of conch is not permitted
-Zone III Extractive fishing is allowed in Zone III, but shall be limited to d"
822,16062,F,15,NA,Turneffe Atoll Marine Reserve,Blackbird Caye Conservation Zone,Blackbird Caye Conservation Zone,BLZ,BLZ,BZ-BZ,Turneffe Atoll Marine Reserve,Turneffe Atoll Marine Reserve,National,2,Designated,2012,All,16.03839058,0,16.03839058,16,16.16640633,No,"Conservation Zones follow the same regulations as those for the General Use Zone, but are more restricted in terms of activities, with additional regulations in place primarily ensuring a no-take regime and guiding tourism activities
-No extractive fish"
823,16061,F,15,NA,Turneffe Atoll Marine Reserve,Dog Flea Caye Conservation Zone,Dog Flea Caye Conservation Zone,BLZ,BLZ,BZ-BZ,Turneffe Atoll Marine Reserve,Turneffe Atoll Marine Reserve,National,2,Designated,2012,All,24.37429196,0,24.37429196,30,24.41374919,No,"Conservation Zones follow the same regulations as those for the General Use Zone, but are more restricted in terms of activities, with additional regulations in place primarily ensuring a no-take regime and guiding tourism activities
-No extractive fish"
824,16060,F,15,NA,Turneffe Atoll Marine Reserve,Maugre Caye Conservation Zone,Maugre Caye Conservation Zone,BLZ,BLZ,BZ-BZ,Turneffe Atoll Marine Reserve,Turneffe Atoll Marine Reserve,National,2,Designated,2012,All,36.04258028,0,36.04258028,43,36.14337517,No,"Conservation Zones follow the same regulations as those for the General Use Zone, but are more restricted in terms of activities, with additional regulations in place primarily ensuring a no-take regime and guiding tourism activities
-No extractive fish"
64,68813307,F,16,NA,NA,Ross Sea Region [General Protection Zone (ii) Seamount Range],Ross Sea Region Marine Protected Area - General Protection Zone (ii),ABNJ,ABNJ,Antarctica,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),International,2,Designated,2017,All,74767.84686,74765,74767.84686,74765,74767.84686,No,Fully protected area where no fishing is permitted.
1373,68813308,F,16,NA,NA,Ross Sea Region [General Protection Zone (iii) Scott Seamount],Ross Sea Region Marine Protected Area - General Protection Zone (iii),ABNJ,ABNJ,Antarctica,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),International,2,Designated,2017,All,21102.09281,21098,21102.09281,21098,21102.09281,No,Fully protected area where no fishing is permitted.
1374,9047,F,16,NA,NA,Ross Sea Region [General Protection Zone (i) Ross Sea shelf/slope and Balleny Islands],Ross Sea Region Marine Protected Area - General Protection Zone (i),ABNJ,ABNJ,Antarctica,Marine Protected Area (CCAMLR),Marine Protected Area (CCAMLR),International,1,Designated,2017,All,1510706.538,1555851,1510706.538,1555851,1555942.697,No,Fully protected area where no fishing is permitted.
983,11293,F,17,NA,NA,Nijhum Dweep,নিঝুম দ্বীপ,BGD,BGD,BD-47,National Park,National Park,National,1,Designated,2001,All,102.7000375,0,102.7000375,163,161.8735683,No,NA
899,68812647,F,18,NA,NA,South Berry Islands Marine Reserve,South Berry Islands Marine Reserve,BHS,BHS,BH-BY,Marine Reserve,Marine Reserve,National,2,Designated,2008,Part,20.37294824,254,203.7294824,207,207.1955302,Unknown,NA
764,68813039,F,19,NA,NA,Port Honduras,Port Honduras,BLZ,BLZ,Not Reported,Specially Protected Area (Cartagena Convention),Specially Protected Area (Cartagena Convention),Regional,2,Designated,2000,Part,13,404,393.2809363,409,403.9205413,Unknown,NA
858,3587,F,19,NA,NA,Port Honduras,Port Honduras,BLZ,BLZ,BZ-TOL,Port Honduras Marine Reserve,Marine Reserve,National,2,Designated,2000,Part,13.2,404,393.2809363,409,403.9205413,Some Restrictions,"No fishing in the Preservation or Consevation Zone.
1% Preservation Zone – Where no person is permitted entry unless for pre-approved, non-extractive research purposes
4% Replenishment (Conservation) Zone – Where non-extractive recreational activit"
37,68808470,F,20,NA,NA,Arquipélago de Alcatrazes,NA,BRA,BRA,NA,Refúgio de Vida Silvestre,Wildlife Refuge,National,1,Designated,2016,Part,7.79,674.09,673.2387891,0,674.7193044,Unknown,NA
57,1410,F,20,NA,NA,Estação Ecológica Tupinambás,Estação Ecológica Tupinambás,BRA,BRA,BR-SP,Estação Ecológica,Ecological Station,National,2,Designated,1987,All,23.71883749,0,23.71883749,24,24.6359757,No,Fishing is prohibited
45,4926,F,21,NA,NA,Estação Ecológica Da Guanabara,Estação Ecológica Da Guanabara,BRA,BRA,BR-RJ,Estação Ecológica,Ecological Station,National,1,Designated,2006,All,2.32757,0,2.32757,19,19.36219327,No,Fishing is Prohibited
959,5432,F,22,NA,NA,Basin Head Marine Protected Area,Basin Head Marine Protected Area,CAN,CAN,Not Reported,Marine Protected Area,Marine Protected Area,National,2,Designated,2005,Part,0.24,9,8.517805564,9,9.241016482,Some Restrictions,"Closed to fishing in Zone 1.

The following activities may be carried out in the Area:

(a) the following fishing activities, namely,

(i) fishing that is carried out in accordance with the Aboriginal Communal Fishing Licences Regulations,

(ii)"
900,68808406,F,23,NA,NA,The Gully (Zone 1),NA,CAN,CAN,NA,Zone De Protection Marine,Marine Protected Area,National,1,Designated,2004,All,475.4485331,475,475.4485331,475,475.4485331,No,No fishing in Zone 1.
960,5431,F,24,NA,NA,Eastport – Duck Island Marine Protected Area,Eastport – Duck Island Marine Protected Area,CAN,CAN,Not Reported,Marine Protected Area,Marine Protected Area,National,2,Designated,2005,All,1.743480592,1,1.743480592,1,1.767966584,Some Restrictions,"The following activities may be carried out in a
marine protected area:

(a) fishing that is carried out in accordance with the
Aboriginal Communal Fishing Licences Regulations

Bottom trawling is prohibited

Commercial fishing and recreational f"
1028,7700290,F,25,NA,NA,Kornati,Kornati,HRV,HRV,Not Reported,Nacionalni Park,National Park,National,1,Designated,1980,Part,11,166,159.7080439,215,215.7093318,Some Restrictions,"11 km^2 no take zone (6.6% of marine area of MPA). Marine protected area is divided into three zones; integral reserve, buffer zone and peripherial area. Spearfishing is forbidden in all three areas. Professional fishing is forbidden  within the integral"
1079,290,F,25,NA,NA,Kornati,Kornati,HRV,HRV,Not Reported,Nacionalni Park,National Park,National,1,Designated,1980,Part,15.97080439,166,159.7080439,215,215.7093318,Some Restrictions,"11 km^2 no take zone (6.6% of marine area of MPA). Marine protected area is divided into three zones; integral reserve, buffer zone and peripherial area. Spearfishing is forbidden in all three areas. Professional fishing is forbidden  within the integral"
145,109,F,26,NA,NA,Kisite,Kisite,KEN,KEN,Not Reported,Marine National Park,Marine National Park,National,2,Designated,1978,All,33.85643948,28,33.85643948,28,34.00202327,No,NA
