obs_id,name,entry_status,mp_year,other_docs,net_ids,country,region,subregion,num_areas,num_nt_areas,size,nt_size,protection,network,cc_threat,cc_ap,cons_obj,sp_vs_unit,sp_feat,unit_feat,cc_obj,obj_details,cc_va,other_assess,va_action,va_details,des_net,des_cc,des_res,sci_monitor,social_monitor,cc_monitor,cc_monitor_det,adap_man,adap_design,mp_time,work_plan,am_det,int_man,cc_actions,act_type,act_motive,Notes
128,Rickett's Point Marine Sanctuary,Complete,2005,,,Australia,Indian,Great Australian Bight,1,1,1.1,1.1,Zoning - NT,NRSMPA,No ,NA,NR,NR,NR,NR,No,NA,NS,Planned,NS,Risk assessment planned,NS,NS,NS,Yes,Yes,Implicit,Monitoring baseline and trends; risks,Yes,NS,10,1,Annual reporting on implementation and updated strategies,Yes,Yes,IS,No,
18,South Berry Islands Marine Reserve,Other Docs NR,2009,Bahamian MPA Network Plan?,,Bahamas,Atlantic,Caribbean,1,1,204,204,NT,Bahamian Marine Protected Area Network,No,NA,No,NA,NA,NA,No,"Objectives are very general - ""enhance fisheries through habitat protection"", ""protect healthy examples of natural marine ecosystem structure and function""",NS,NS,NS,NS,No,NS,NS,"Nonspecific - Reef health, fishery assessments, targeted species and habitats",Nonspecific - uses and user impacts,NS,NS,NS,NS,5,NS,Independent implementation evaluation for the next plan,NS,NS,,,
87,Laughing Bird Caye,Complete,2011,Southern Belize Reef Complex Conservation Action Plan ,,Belize,Atlantic,Caribbean,1,1,41,41,Zoning - conservation zone I and preservation zone are NT,"Belize Barrier Reef Protected Area System, Southern Belize Reef Complex",Yes,Yes,Yes,Both,System level targets with additional nested targets,System level targets with additional nested targets,Explicit,"Each feature has an associated goal and indicators (e.g. for coral reefs - return system to a healthy state; measured by % cover, % macroalgae, reef fish density). For climate change, there is an explicit management goal and strategies - identify resilient coral species, recruitment sources, ensure herbivore protection, reduce cumulative anthropogenic local threats, monitor climate change effects, and characterize water currents critical for recruitment of coral/fish. ""By 2015 at least 50% of coral reefs and mangroves resilient to climate change located within the SBRC will be effectively protected.""",NS,Yes,NS,"General assessment of the status of features with respect to various other threats, and a specific ""site reilience assessment"" with respect to climate change; Sea level rise, SST rise, increased storm frequency, ocean acidification, decreased precipitation, air temperature changes",Planned,NS,Yes,In development; some monitoring already conducted (e.g. coral bleaching),In development; some monitoring already conducted (e.g. coral bleaching),Explicit,"Emphasizing establishing adequate baseline information for monitoring targets for climate change adaptation and limits of acceptable change, continuing to add monitoring for climate change, integrating climate change into research priorities, identifying areas with/without resilience to climate change. Already monitor some climate-related variables and impacts (e.g. coral bleaching)",Yes,Redesign,5,,"Zoning revision, updates to boundaries considered; 5 year MP review",Yes,Yes,"ED, IP, CO, TO, LE, HR, PO, IS",Yes,
143,California Coastal Marine Protected Area Network,NR,2016,Montitoring Plan 2018,,United States,Pacific,East,124,48,2196,875,"Zoning - Individual NT areas, other ares with some restrictions; managed regionally and as statewide network",California MPA Network,Yes,Planned,NR,NR,NR,NR,Explicit,NR,NS,NS,NS,NS,Yes,"Consider the potential impacts of climate change, community alteration, and distributional shifts in marine species when designing MPA",Yes,Yes,Yes,Explicit,"Baseline and trends, species indicators; excellent table for indicating goals, questions, and measurable indicators",Yes,Redesign,10,NS,Review based on monitoring every 10 years,Yes,Yes,"IS, HR",Yes,
88,Sapodilla Cayes Marine Reserve,Complete,2011,Southern Belize Reef Complex Conservation Action Plan ,,Belize,Atlantic,Caribbean,1,1,156,30,Zoning - Conservation Zone I and II and Preservation Zone are all NT,"Belize Barrier Reef Protected Area System, Southern Belize Reef Complex",Yes,Yes,Yes,Both,System level targets with additional nested targets,System level targets with additional nested targets,Explicit,"Each feature has an associated goal and indicators (e.g. for coral reefs - return system to a healthy state; measured by % cover, % macroalgae, reef fish density). For climate change, there is an explicit management goal and strategies - identify resilient coral species, recruitment sources, ensure herbivore protection, reduce cumulative anthropogenic local threats, monitor climate change effects, and characterize water currents critical for recruitment of coral/fish. ""By 2015 at least 50% of coral reefs and mangroves resilient to climate change located within the SBRC will be effectively protected.""",NS,Yes,NS,"General assessment of the status of features with respect to various other threats, and a specific ""site reilience assessment"" with respect to climate change; Sea level rise, SST rise, increased storm frequency, ocean acidification, decreased precipitation, air temperature changes",Planned,NS,Yes,In development; some monitoring already conducted (e.g. coral bleaching),In development; some monitoring already conducted (e.g. coral bleaching),Explicit,"Emphasizing establishing adequate baseline information for monitoring targets for climate change adaptation and limits of acceptable change, continuing to add monitoring for climate change, integrating climate change into research priorities, identifying areas with/without resilience to climate change. Already monitor some climate-related variables and impacts (e.g. coral bleaching)",Yes,Redesign,5,,"Zoning revision, updates to boundaries considered; 5 year MP review",Yes,Yes,"ED, IP, CO, TO, LE, HR, PO, IS",Yes,
76,British Virgin Islands Marine Reserve Network,Complete,2007,,,British Virgin Islands,Atlantic,Caribbean,15,15,67.4,67.4,NR,NS,Yes,Planned,Somewhat,Both,"Commercial species, valuable wildlife, endangered and critical species (turtles, seabirds)","Habitats important for productivity, representativeness, diversity, physiographic/geologic/aesthetically unique areas",No,Listed as values,Planned,NS,NS,Objective to conduct assessments of vulnerability to climate change and sea level rise,Yes,General resilience principles,"Yes - based on turtle nesting beaches, protected and important seagrass areas, mangrove stands, coral reefs (areas with Montastrea and Acropora species) and existing Fisheries and Marine PAs; target cover 30% of nearshore habitats and ecosystems, moderate size (10-100km2) and variable spacing, placement balancing conservation/tourism impacts/fisheries management",ID,ID,NS,NS,Yes,Redesign,5,,"System-wide evaluation every 5 years; includes updates in site planning, consolidation of units (currently planned - addressing issues of minimum size, connectivity), consultations of management plans",Yes,NS,,,
123,Montebello/Barrow Island Marine Conservation Reserves,NR - Actually part of North Network?,2007,,,Australia,Indian,East,1,3,324,324,Zoning - 3 NT sanctuary zones,NRSMPA,Yes,No,NR,NR,NR,NR,No,NA,NS,Planned,NS,Risk assessment planned,Zoning,NS,Zoning of NT areas with representative habitats,Yes,"Yes, visitor use",Implicit,Baseline data to assess changes over time; monitoring program distinguishes specific indicators and desired trends/changes,Yes,NS,10,1,"10-year MP review, annual WP",Yes,NS,NA,NA,
24,Eastport Marine Protected Areas,Complete,2013,,,Canada,Atlantic,North,2,2,2.1,2.1,Zoning - 2 MPAs within large fishery management area,National System of Protected Areas,No,NA,Yes,Both,Lobster,Lobster habitat,No,NA,NS,NS,NS,NS,No,NS,NS,"Lobster, wolffish",NS,NS,NS,Yes,,5,,Improving data collection & monitoring,Yes,No,,,Primarily single-purpose: American lobster
25,Kornati National Park,Complete,2014,,,Croatia,Mediterranean,Adriatic Sea,1,1,160,11,Zoning - Buffer,"MedPAN, AdriaPAN",No,NA,Yes,Both,"Dolphins, sea turtles, corals, signifiant fish/crustaceans/cephalopods","Marine habitats (sea grass beds, corals)",Implicit,"Maintain physio-chemical parameters in boundaries of the natural state - sedimentation map, monitoring water conditions and atmospheric pollution",NS,NS,NS,NS,No,NS,NS,Extensive,Extensive,Implicit,NS,Yes,,5,,Based on monitoring,Yes,Yes,,,
11,Arnavon Marine Park,Complete,2015,None,,Solomon Islands,Pacific,West,1,1,169,169,Zoning - some sustainable local take permitted,"NS, Developing network through inclusion of satellite areas",Yes,No,Somewhat,NA,NR,Sea turtle habitat and nesting ground,Explicit,Specifically mentions monitoring climate change impacts on marine life and associated ecosystems,NS,NS,NS,NS,No,Proposal to expand boundaries to provide buffer to human impacts outside of the region,NS,"Sea turtle habitat, nesting ground, climate change impacts, sessile benthic communities, sedentary species, finfish",NS,Explicit,"Monitoring ""climate change impacts"" ",Yes,Redesign,1,1,Considering boundary expansion to integrate satellite sites,NS,NS,,,
27,Phoenix Islands Protected Area,Complete,2015,"Vulnerability Assessment (Reviewed), Monitoring Plan (Reviewed)",,Kiribati,Pacific,Central,1,1,395096,395096,Zoning - (Near) complete no-take (as of 2015) except Atoll Restricted Use Zone (2467km2) around Kanton Atoll (only inhabited island),NS,Yes,Yes,Yes,Both,"Depleted, rare, threatened, endangered species and systems","Representative substantial examples of systems, Critical habitats for species listed, habitats for economically-important species, genetic diversity historical and cultural sites",Implicit,Maintain long-term viability of ecosystems,Yes,NS,Planned,"Updated 2016 but not comprehensive; notes particular recommendations moving forward but unclear if/how they are being implemented; Stressors: Air temperature, rainfall, SST & thermal stress, pH, sea level rise, ENSO",No,NS,NS,"Seabirds, invasive flora and fauna, coral cover and impacts (bleaching, disease, predation), abundances of various fishes and invetebrates, sharks, turtles","Fisheries landings, illegal fishing, vistiors and activities, perceptions, management attitudes, awareness and economic impact, participation in monitoring",Explicit,"Sea turtle nest success, indicators of coral reef resilience (cover, algae, dead/live, rubble/sand, bleaching, disease, predation, drupella snails, coral recruits), climate-sensitive seabird species",Yes,,5,,,Yes,Yes,,,
9,Tubbataha Reefs Natural Park,Questions,2014,,NA,Philippines,Pacific,West,1,1,3655,980,"Zoning - Buffer, additional plans",NS,Yes,No,No,NA,NA,NA,No,"General ""conservation management"" goal but lacks specific outlined objectives or details/targets for climate change. ""Biological diversity and ecosystem processess""",Planned,NS,NS,"Review of MP in 2011 listed a climate change vulnerability assessment as a priority activity, but it was not mentioned in the 2014 update",No,Zoning; buffer and special areas,NS,Yes,Yes,Explicit,Changes in water quality due to climate change,Yes,Zoning,10,,NR,Yes,Yes,,,
36,"Zone Côtière Ouest - Île Verte, Poé",Complete,2018,,,New Caledonia,Pacific,West,1,1,826,18,"Zoning - Buffer Zone, Specially protected areas",NS,No,NA,Yes,Both,"Turtles, dugongs, endemic, rare, threatened","Habitats, diversity",No,NA,NS,NS,NS,NS,NS,NS,Somewhat - zoning to protect critical areas,Yes,Yes,NS,NS,NS,NS,NS,NS,NS,NS,Yes,,,Plan is a table of actions without additional details; therefore potentially difficult to understand 
134,Walpole and Nornalup Inlets Marine Park,Complete,2009,,,Australia,Indian,East,1,1,12,12,Zoning - Marine Area is NT,NRSMPA,Yes,No,NR,NR,NR,NR,Implicit,Establish baselines to track changes,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Implicit,"Indicators, measurements, and targets for each ecological and social value; establish baselines to track changes in status through time",Yes,NS,10,1,"Annual implementation plan, management plan reviews",Yes,NS,NA,NA,
135,Pulu Keeling National Park,Complete,2015,,,Australia - Cocos Islands,Indian,East,1,1,23.7,23.7,NT,NRSMPA,Yes,No,NR,NR,NR,NR,Implicit,Monitoring against acceptable limits of change,Yes,NS,Yes,Territory-level climate change risk assessment,NS,NS,NS,Yes,"Yes - fishing, tourism, use",Implicit,Monitoring ecological indicators against acceptable limits of change,Yes,NS,10,1,Annual reporting on implementation; 'regular review',Yes,Yes,IS,No,
32,Nestucca Bay National Wildlife Refuge,Complete,2013,Rising to the Challenge: Strategic Plan for Responding to Accelerating Climate Change (USFWS 2010a),,United States,Pacific,East,1,1,1.55,1.55,NT,NS,Yes,No,Yes,Both,"Migratory birds, fish, estuary-dependent species, threatened, endangered, candidate species","Habitats (instream aquatic habitat, wetlands, estuaries)",Implicit,Climate change related strategies are secondary actions within the objectives,Yes,NS,Planned,"Climate chapter in MP, but also undergoing climate sensitivity analysis at time of writing with plans to turn that into specific actions; general conditions, air temperatures, precipitation, wind, climate cycles, water quality, tides and salinity, sea level rise, hydrology",No,NS,NS,Extensive,NS,Explicit,"Monitoring habitat and species to establish correllations and potential adaptation option, effects of regional and local climate trends on refuge resources. In estuaries, salt marshes, and intertidal habitats, monitoring sedimentation rates and vegetation response to understand potential resilience to sea level rise, storm surges, flood events.  ",Yes,,NS,NS,"Change management strategies or objectives, especially in relation to acellerated climate change",Yes,Yes,,,
33,Siletz Bay National Wildlife Refuge,Complete,2013,Rising to the Challenge: Strategic Plan for Responding to Accelerating Climate Change (USFWS 2010a),,United States,Pacific,East,1,1,3.34,3.34,NT,NS,Yes,No,Yes,Both,"Migratory birds, fish, estuary-dependent species, threatened, endangered, candidate species","Habitats (instream aquatic habitat, wetlands, estuaries)",Implicit,Climate change related strategies are secondary actions within the objectives,Yes,NS,Planned,"Climate chapter in MP, but also undergoing climate sensitivity analysis at time of writing with plans to turn that into specific actions; general conditions, air temperatures, precipitation, wind, climate cycles, water quality, tides and salinity, sea level rise, hydrology",No,NS,NS,Extensive,NS,Explicit,"Monitoring habitat and species to establish correllations and potential adaptation option, effects of regional and local climate trends on refuge resources. In estuaries, salt marshes, and intertidal habitats, monitoring sedimentation rates and vegetation response to understand potential resilience to sea level rise, storm surges, flood events.  ",Yes,,NS,NS,"Change management strategies or objectives, especially in relation to acellerated climate change",Yes,Yes,,,
39,Derawan Islands (KKPD Kepulauan Derawan dan Perairan Sekitarnya),Complete,2018,MP Book II (Work Plan) NF,,Indonesia,Pacific,West,4,6,2605,106.74,"Zoning - 6 core no-take area, sustainable use and tourism zones",NS,Yes,No,Yes,Both,"Coral fish, threatened, charismatic, cultural biota, rare, commercial, unique species","Coral reefs, sea grass, mangroves",Explicit,Objective is to develop adaptive management for resilience to climate change impacts,NS,NS,NS,NS,NS,NS,Somewhat - zoning to protect critical areas,"Coral cover, reef biota, seagrass cover and composition, mangrove density, coastal vegetation composition, endangered species abundance and distribution, fish abundance/distribution/length, fish larvae composition and distirbution, turtle habitat and population, water quality (pH, DO, temperature, conductivity, alkalinity, salinity, flow, plankton), depth","Fishery (catch, gear, ships, production, area), Aquaculture, ecotourism use, site conditions, socio-environmental conditions perception",Explicit,Distribution and abundance of coral reef indicator species,Yes,,5,,,Yes,NS,,,Plan lacks specific actions aside from monitoring
148,Canal Luis Peña ,Complete,2008,,,United States - Puerto Rico,Atlantic,Caribbean,1,1,5.87,5.87,NT - Additional zoning,,No,NA,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Implicit,Establishing baselines and long-term monitoring,Yes,NS,5,1,NS,Yes,Yes,HR,No,
149,Isla de Desecheo,Complete,2011,,,United States - Puerto Rico,Atlantic,Caribbean,1,1,5.91,5.91,NT - Additional zoning,,No,NA,NR,NR,NR,NR,No,NA,NS,NS,NS,NS,NS,NS,NS,Yes,Yes,Implicit,Establishing baselines and long-term monitoring,Yes,NS,5,1,NS,Yes,Yes,HR,No,
43,Pulau Weh (KKP Pesisir Timur Pulau Weh),Complete,2010,MP Book II (Work Plan) NF,,Indonesia,Pacific,West,1,2,31.6,0.025,Zoning - 2 core zones,NS,Yes,No,No,NA,NA,NA,No,NA,NS,NS,NS,NS,NS,NS,Somewhat - zoning to protect critical areas,"Coral reef, reef fish","Fishery catch, violations, use",NS,NS,NS,NS,NS,NS,NS,Yes,Yes,,,
