Table S5. Relevant explicit climate change details collected from each plan,,,,
Plan,Name,Component,Indicator,Strategy
4,Galapagos Marine Reserve,Objectives,Objectives explicitly connected to climate change,"Primary basic objective is to increase and integrate scientific/technical knowledge within management, specifically ecological-socioeconomic-cultural interactions in the context of global change; Goal of managing for resilience, setting explicit minimum standards: one is “protect ecosystems and natural buffer barriers to mitigate natural events and those produced by climate change”"
5,Ilhas Selvagens Special Conservation Area,Objectives,Promote climate change research (or increase cc knowledge),"Reports facilitating studies on marine species adaptation to climate change ""Since 2013"""
6,Chumbe Island Reef Sanctuary,Climate,Discusses protection as climate mitigation strategy,"""This again would indicate the colonies present in the CRS are relatively robust and resilient to
climate change factors. This resilience is anticipated to be as a result of the removal of other
stressors (fishing pressure, damage to reef from anchoring, destructive fishing practices,
irresponsible tourism, direct land-source pollution etc.) as conferred through the protection of the
area as 100% no take and fully managed"
6,Chumbe Island Reef Sanctuary,Objectives,Objectives explicitly connected to climate change,"""Marine area is maintained against impacts from COTS and SST increases caused by climate change"""
6,Chumbe Island Reef Sanctuary,Objectives,Monitoring climate effects and/or indicators,"By 2027, at least two sea surface temperature (SST) loggers will have been present at all times in the CRS to appropriately record SST over time (in collaboration with the Institute of Marine Sciences - IMS)."
6,Chumbe Island Reef Sanctuary,Objectives,Improve climate change awareness/education,"Education program emphasizing sustainability and climate change mitigation - topics such as litter clean-ups, mangrove planting"
6,Chumbe Island Reef Sanctuary,Management,Reduction of other threats linked to climate resilience,"""This again would indicate the colonies present in the CRS are relatively robust and resilient to
climate change factors. This resilience is anticipated to be as a result of the removal of other
stressors (fishing pressure, damage to reef from anchoring, destructive fishing practices,
irresponsible tourism, direct land-source pollution etc.) as conferred through the protection of the
area as 100% no take and fully managed"""
7,Aldabra Atoll Special Reserve,Climate,Discusses protection as climate mitigation strategy,"""protection and
management need to address the constant threats posed by invasive alien species, climate
change and oil spills"""
7,Aldabra Atoll Special Reserve,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""For the purposes of developing management priorities, pressures on the values are confined to current pressures and pressures likely to occur during the life of the management plan and considered to be manageable within the protected area’s context. By definition, this excludes global pressures such as climate change. The potential impact of these global pressures is however considered in the development of the strategies for the management of the protected area."""
7,Aldabra Atoll Special Reserve,Objectives,General climate change adaptation,"""Monitor the impact of climate change on the geomorphology of the
protected area and where feasible, implement adaptive management
strategies."""
7,Aldabra Atoll Special Reserve,Objectives,Reduce emissions; green operations,"Existing sustainability measures (eg. solar power, rainwater colelction) - objectives to upgrade existing environmental sustainability measures already implemented for power, water and waste management and consider implementation of new sustainability technology when available"
8,Area Marina Protetta di Torre Guaceto,Climate,Discusses role of area as carbon sink,"""Furthermore, very recent studies show that trawling is responsible for dramatically stressing soft bottoms, causing the release of a huge amount of stored carbon."""
8,Area Marina Protetta di Torre Guaceto,Objectives,General climate change adaptation,"""With note prot. 66733 of 21 June 2021, MITE invited to submit project proposals for the implementation of interventions
aimed at mitigation and adaptation to climate change by the managing bodies of marine protected areas and submerged parks."""
8,Area Marina Protetta di Torre Guaceto,Objectives,Monitoring climate effects and/or indicators,"""Posidonieto, in consideration
of the continuous variations
of the characteristics of the
meteorological and marine
dynamics in relation to the
phenomena of climate change
in progress accelerated in
recent years, it seems
appropriate to continue the
monitoring of the prairie at P.
oceanica and dwell on the
geomorphosedimentological
components to verify that the
material that is deposited on
it actually derives from the
erosion of the cliffs"""
9,Tubbataha Reefs Natural Park,Objectives,Provide natural reference area for climate change,"""The property also offers a demonstration site to study the responses of a natural reef system in relation to the impacts of climate change"""
9,Tubbataha Reefs Natural Park,Assessment,Conducted climate change vulnerability assessment,"Review of MP in 2011 listed a climate change vulnerability assessment as a priority activity, but it was not mentioned in the 2014 update"
9,Tubbataha Reefs Natural Park,Design,Design principles applied with explicit climate change context,Zoning to protect sensitive areas and increase resilience to cc impacts
9,Tubbataha Reefs Natural Park,Design,Protect critical species or habitats (for cc),Zoning to protect sensitive areas and increase resilience to cc impacts
10,Raja Ampat Islands Marine Protected Area Network,Objectives,General climate change adaptation,Plan for climate change adaptation through vulnerability assessments and dissemination of regional assessment results and stakeholder coordination
10,Raja Ampat Islands Marine Protected Area Network,Assessment,Conducted climate change vulnerability assessment,Planned vulnerability assessment as part of regional resource management strategy
10,Raja Ampat Islands Marine Protected Area Network,Design,Adaptive design applied as a climate change strategy,"""A review of management and zoning documents that are adaptive and
responsive to the dynamics of regional development is very important."""
11,Arnavon Marine Park,Objectives,Provide natural reference area for climate change,Acknowledge climate change and sea level rise as major threats; note that the undisturbed environment offers ideal setting for monitoring natural changes to ecosystems and effects of climate change
11,Arnavon Marine Park,Objectives,Monitoring climate effects and/or indicators,"To provide an avenue for monitoring of impacts of climate
change on marine life and associated ecological systems."
11,Arnavon Marine Park,Design,Adaptive design applied as a climate change strategy,Proposal to expand the east/west boundaries of the park to create buffers against impacts to coastlines
12,Papahānaumokuākea Marine National Monument,Climate,Discusses protection as climate mitigation strategy,"""Another example includes protected species monitoring and translocations.""- This is under a climate change heading"
12,Papahānaumokuākea Marine National Monument,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""species. Assisted
restoration should
be considered
for these reefs,
which already
have calcification
limitations, are
near the thermal
limit for coral
growth, and
will continue to
experience climate
change impacts
such as ocean
warming and
changing ocean
chemistry."""
12,Papahānaumokuākea Marine National Monument,Objectives,Objectives explicitly connected to climate change,"Prioritizes climate change as a priority issue, develop specific actions to understand baselines and variability of climate stressors"
12,Papahānaumokuākea Marine National Monument,Objectives,General climate change adaptation,"""Climatic and oceanic conditions are changing and will continue to change. Thus, it is imperative that
conditions are assessed on a regular basis and adaptive management is implemented."""
12,Papahānaumokuākea Marine National Monument,Objectives,Maintain function/biodiversity in climate change,"""It may involve implementing actions to
maintain key ecosystem functions and structures in light of future conditions;"""
12,Papahānaumokuākea Marine National Monument,Objectives,Enhance overall system resilience to climate change,"""In selecting targets for these kinds
of actions, one strategy is to prioritize areas likely to be naturally resilient to climate change
impacts, so they can serve as refugia and a source of replenishment for more vulnerable areas."""
12,Papahānaumokuākea Marine National Monument,Objectives,Monitoring climate effects and/or indicators,"Prioritizes climate change as a priority issue, develop specific actions to understand baselines and variability of climate stressors"
12,Papahānaumokuākea Marine National Monument,Objectives,Improve climate change awareness/education,Plan to develop educational unit on the effects of climate change for elementary and middle school students
12,Papahānaumokuākea Marine National Monument,Assessment,Conducted climate change vulnerability assessment,"Vulnerability assessment completed in 2016; action plan to follow; Stressors: sea temperature, ocean acidification, sea level rise, changes to ocean circulation and currents, changes to storm tracks and intensity, changes to precipitation or weather"
12,Papahānaumokuākea Marine National Monument,Management,Strategy applied specifically for climate change,"plan also outlines specific actions to protect and restore key habitats lost to coastal erostion and/or sea level rise for monk seals and sea turtles, identifying management actions to delay future habitat loss, as well as reducing other stressors (identifying foraging and nesting habitat areas and limiting vessel/human traffic to limit disturbance, monitoring and removing marine debris to prevent entanglement)"
13,Greater Farallones National Marine Sanctuary,Climate,Discusses protection as climate mitigation strategy,"""Habitat conservation is listed as one of seven collaboratively-developed goals in the National
Fish, Wildlife, and Plants Climate Adaptation Strategy (2012) to help natural resources cope
with the impacts of climate change, with the intent of protecting healthy populations of species
and supporting ecosystem function."""
13,Greater Farallones National Marine Sanctuary,Objectives,Objectives explicitly connected to climate change,"""Integrate climate change mitigation, monitoring, education, and adaptation into sanctuary management through the development of the Gulf of the Farallones National Marine Sanctuary Climate Smart Conservation Plan."""
13,Greater Farallones National Marine Sanctuary,Objectives,Enhance overall system resilience to climate change,"""to develop management strategies to respond to and
decrease those vulnerabilities, ultimately enhancing resource resilience to climate impacts."""
13,Greater Farallones National Marine Sanctuary,Objectives,Promote climate change research (or increase cc knowledge),"""Identify and map specific and trend information for identification of areas of ecological
significance and changes of ranges as potential indicators of climate change."""
13,Greater Farallones National Marine Sanctuary,Objectives,Reduce emissions; green operations,"""Maintain staff Green Team to prioritize and implement Green Operations Plan."""
13,Greater Farallones National Marine Sanctuary,Objectives,Improve climate change awareness/education,"Address the need to educate and engage the local community in understanding the impacts of climate change as well as local efforts to reduce those impacts: 1) incorporate climate change messaging into education programs through Climate Education Plan, 2) increase training for communicating implications of climate change (particularly for ""exacerbating stressor of tiedpool visitation and recreational extraction on coastal habitats"")"
13,Greater Farallones National Marine Sanctuary,Design,Design principles applied with explicit climate change context,"Rather than reduce access to highly vulnerable or impacted habitats, the strategies in this approach limit human disturbance to climate change refugia to ensure local persistence of relatively functional and intact habitat. Climate change refugia are defined as “areas relatively buffered from contemporary climate change over time that enable persistence of valued physical, ecological, and socio-cultural resources” (Morelli et al. 2016). Focusing protection on these areas is an effective means to allocate limited conservation capacity (Morelli et al. 2016) and ensure that valued resources persist in the Sanctuary."
13,Greater Farallones National Marine Sanctuary,Design,Protect climate refugia,"Limit human disturbance to climate change refugia (ensure persistence of relatively functional and intact habitat): 1) manage access to intertidal climate refugia, 2) identify and protect sites of marine mammal haul-outs and seabird nesting sites (particularly climate refugia), 3) reduce acoustic impacts and ship strikes on large whales (via Vessel Strikes and Acoustic Impacts Report 2012)"
13,Greater Farallones National Marine Sanctuary,Design,Adaptive design applied as a climate change strategy,"Adaptive zoning; potential to change restricted areas and/or extend boundaries as needed - Plans include developing strategies to protect habitats/species in ""special areas of concern"" (through additional sanctuary protections, effectiveness of existing zonal regulations), evaluating effectiveness of current management in addressing priority ecosystem protection issues and refine or extend boundaries as needed; additional cross-cutting action plans to work with regional NMS to evaluate management strategies for offshore portions of the northern expansion areas; Limit human disturbance to climate change refugia (ensure persistence of relatively functional and intact habitat): 1) manage access to intertidal climate refugia, 2) identify and protect sites of marine mammal haul-outs and seabird nesting sites (particularly climate refugia), 3) reduce acoustic impacts and ship strikes on large whales (via Vessel Strikes and Acoustic Impacts Report 2012)"
13,Greater Farallones National Marine Sanctuary,Management,Reduction of other threats linked to climate resilience,"Limit human disturbance to climate change refugia (ensure persistence of relatively functional and intact habitat): 1) manage access to intertidal climate refugia, 2) identify and protect sites of marine mammal haul-outs and seabird nesting sites (particularly climate refugia), 3) reduce acoustic impacts and ship strikes on large whales (via Vessel Strikes and Acoustic Impacts Report 2012); Protect and restore habitat or key ecosystem processes to enhance the adaptive capacity to the impacts of climate change and/or alleviate climate impacts by directly reducing climate stressors (increased storm activity and air temperature) on coastal habitats, species, and human communities"
13,Greater Farallones National Marine Sanctuary,Management,Applied as climate strategy,"Develop and implement water quality monitoring program to track impacts on estuarine and nearshore environment, evaluate potential impacts to nearshore water quality from projected sea level rise, address land-based discharges into sanctuary waters."
13,Greater Farallones National Marine Sanctuary,Management,Strategy applied specifically for climate change,"Sediment management is an ""effective tool to prepare for and respond to climate-driven shoreline impacts"" - Identified 29 sediment-related strategies (in 15 different sites) related to: restoring dune/upland and marsh habitats, beach restoration/nourishment, living shorelines, research, education, dredging; Implement living shorelines to reduce erosion and combat effects of sea level rise and increased storms. Thorne et al. (2016) indicate that California tidal wetlands, including Bolinas Lagoon, will experience dramatic habitat transition by 2080 under mid-SLR projections and 2050 under high-SLR projections, with the complete loss of high and mid-marsh habitat. Protecting existing upland areas may ensure that high marsh habitat can persist locally, and will also likely provide flood and erosion protection for human infrastructure. Specific actions include: 1) Identify new sites for nature-based infrastructure projects, 2) reduce or modify armoring that exacerbates erosion with nature-based solutions, 3) remove/redesign (raise/move) roads that are barriers to coastal habitat expansion (including plans for change in the event of disaster, during scheduled maintenance timeframes, and looking for opportunities to create functional habitat)"
14,Great Barrier Reef Marine Park,Climate,Discusses protection as climate mitigation strategy,"Local actions to build resilience within the Great Barrier Reef
Marine Park are critical complements to climate change
mitigation efforts and catchment programs to improve
water quality. A more resilient Reef will recover faster from
recent shocks and cope better with the challenges ahead."
14,Great Barrier Reef Marine Park,Climate,Discuss limitations with respect to adaptation and/or mitigation,"While the Authority and its partners have
little direct control over global carbon
emissions, we do have an opportunity to
highlight impacts of climate change on coral
reefs, influence global discourse on carbon
emissions and to demonstrate leadership in
emissions reduction."
14,Great Barrier Reef Marine Park,Objectives,Objectives explicitly connected to climate change,"The targets and actions to maintain and enhance ecosystem health over successive decades relate to those aspects of the ecological system (for example coral reefs, seagrass meadows and coastal habitats) that support or best represent the ecological and biological processes of the Reef; provide habitat for biodiversity including threatened species; increase resilience to climate change; and economic and community benefits (for example natural beauty, fisheries and protection from wave action)."
14,Great Barrier Reef Marine Park,Objectives,General climate change adaptation,Accelerating actions to address climate change
14,Great Barrier Reef Marine Park,Objectives,Enhance overall system resilience to climate change,maximise the resilience of the Reef to climate change
14,Great Barrier Reef Marine Park,Objectives,Improve climate change awareness/education,"Highlight impacts of climate change on coral reefs, influence global discourse on carbon emissions, and demonstrate leadership in emissions reduction. The Reef 2050 plan has been updated (2018) to include a stronger focus on climate change as a key pressure and a Water Quality Improvement Plan has been developed (2017-2022). Citizens of the Great Barrier Reef have had online global movement campaigns to increase awareness and community action, and the Authority is drafting a position statement on climate change to encourage strong action. Future plans include promoting the uptake of renewable energy and emission reduction activities among reef communities. Other plans include developing and strengthening partnerships to foster collaborative efforts to reduce impacts, restore values, and promote resilience. (Traditional Owners, government agencies, Reef users, industry, researchers, community). Build awareness and momentum for action within wider sections of society through public engagement: The GBRMPA have promoted International Year of the Reef Campaign and local Straw No More Campaign, and plan to implement targeted education and communication materials.; Improve legislation and policy to enable resilience-based management: Currently drafting a framework for evaluating restoration intervations to ensure projects do not adversely affect values. Future plans include reviewing existing policies to ensure they are consistent with the framework, and strengthening the capability for dynamic resilience-based management approaches."
14,Great Barrier Reef Marine Park,Assessment,Conducted climate change vulnerability assessment,A series of qualitative change trajectories have been developed for the Reef... based on rates of climate change and other regional and local drivers and associated pressures. These trajectories deal with uncertainty by illustrating combinations of fast and slow projected rates of global climate change and other regional and local drivers and pressures. The trajectories provide plausible upper and lower bounds to consider the future management needs for the Reef and illustrate questions that will be need to be addressed in the comprehensive review of the Plan in 2020.
14,Great Barrier Reef Marine Park,Design,Protect resilient areas,"Identifying priority areas (""resilience network"") to focus actions and resources. Developing a decision-support tool for dyanmic exposure and connectivity mapping from an array of monitoring and modeling data that will identify areas which will maximize system-wide benefits. Plan to then determine measures to reduce impacts/improve condition in those areas. Initial focus is identifying reefs which support ecological resilience by mapping thermal stress, wave and cyclone exposure, water quality, light availability, and connectivity - ideally considering areas with lower exposure, higher coral cover, rapid recovery after impacts, higher contribution to downstream coral larval supply. Future goals are to incorporate social, cultural, and economic values."
14,Great Barrier Reef Marine Park,Design,Protect critical species or habitats (for cc),"Identifying and protecting key species that assist in recovery (e.g. fast-growing plate corals that assist in re-establishment and rapidly replenish shelter, herbivores that limit macroalgae growth). Developing a framework to examine species importance by documenting ecosystem processes and functions and identifying species most important to them, examining the threats to those species based on sensitivity and exposure, developing a species importance index and threat index to determine overall vulnerability, and assessing options and recommendations for improving management. Future efforts will be to actually implement measures to reduce risks associated with current/future pressures and enhance populations, promote ""voluntary stewardship"" to protect (especially voluntary moratoria on take), and working to improve compliance with protection measures."
14,Great Barrier Reef Marine Park,Design,Adaptive design applied as a climate change strategy,"Identifying priority areas (""resilience network"") to focus actions and resources. Developing a decision-support tool for dyanmic exposure and connectivity mapping from an array of monitoring and modeling data that will identify areas which will maximize system-wide benefits. Plan to then determine measures to reduce impacts/improve condition in those areas. Initial focus is identifying reefs which support ecological resilience by mapping thermal stress, wave and cyclone exposure, water quality, light availability, and connectivity - ideally considering areas with lower exposure, higher coral cover, rapid recovery after impacts, higher contribution to downstream coral larval supply. Future goals are to incorporate social, cultural, and economic values."
14,Great Barrier Reef Marine Park,Management,Reduction of other threats linked to climate resilience,"place a greater focus on the use of modelling and prognostic tools
to ensure decisions are made in the context of influencing the Reef’s
key drivers, including a changing climate and an understanding of
cumulative impacts"
14,Great Barrier Reef Marine Park,Management,Strategy applied specifically for climate change,"In partnership with the Great Barrier Reef Foundation,
enhance natural vegetation communities on targeted
Reef islands to enhance the resilience of the islands
and adjoining coral reefs to climate change and other
stressors."
15,Turneffe Atoll Marine Reserve,Climate,Discusses protection as climate mitigation strategy,"""Engage caye landowners in climate change adaptation strategies – including shoreline protection
through conservation / re-planting of mangroves"""
15,Turneffe Atoll Marine Reserve,Climate,Discusses role of area as carbon sink,"""Protected areas in Belize provide irreplaceable public benefits from ecosystem
services such as clean water, clean air, carbon sinks, gene pools, baseline data for
research and development,"""
15,Turneffe Atoll Marine Reserve,Climate,Discuss limitations with respect to adaptation and/or mitigation,"""Limited scientific knowledge / experience of
climate change impacts – few models available
for successful adaptation."""
15,Turneffe Atoll Marine Reserve,Objectives,Objectives explicitly connected to climate change,"Actions within science program to facilitate climate adaptation include establishing baselines, integrating climate change monitoring into the monitoring framework, identifying priority research activities for climate change assessment/planning, monitorring for coral bleaching and disease,"
15,Turneffe Atoll Marine Reserve,Objectives,General climate change adaptation,"""Managing for Climate Change is a fundamental necessity of marine conservation"""
15,Turneffe Atoll Marine Reserve,Objectives,Maintain function/biodiversity in climate change,"""The Natural Resource Management Programme focuses on ensuring the maintenance of
healthy, functional ecosystems in the face of current and future threats, including climate
change, through surveillance and enforcement, direct biodiversity management interventions
and visitor management."""
15,Turneffe Atoll Marine Reserve,Objectives,Enhance overall system resilience to climate change,"In reference to climate change, ""Identify and increase protection of resilient reefs, source
populations and key larval dispersal routes"""
15,Turneffe Atoll Marine Reserve,Objectives,Monitoring climate effects and/or indicators,"Actions within science program to facilitate climate adaptation include establishing baselines, integrating climate change monitoring into the monitoring framework, identifying priority research activities for climate change assessment/planning, monitorring for coral bleaching and disease,"
15,Turneffe Atoll Marine Reserve,Objectives,Promote climate change research (or increase cc knowledge),"Actions within science program to facilitate climate adaptation include establishing baselines, integrating climate change monitoring into the monitoring framework, identifying priority research activities for climate change assessment/planning, monitorring for coral bleaching and disease; Develop specific research and monitoring activities and strategies to address climate change issues - develop standards for Limits of Acceptable Change (LAC) Programme, increase knowledge of connectivity and recruitment."
15,Turneffe Atoll Marine Reserve,Objectives,Reduce emissions; green operations,"""Establish and implement green building and operation policies for all infrastructure,
with use of solar / wind powered electricity generation, following best practices
guidelines during construction of infrastructure and operation of boats"""
15,Turneffe Atoll Marine Reserve,Objectives,Improve climate change awareness/education,"Engage caye landowners in climate change adaptation strategies - shoreline protection through conservation and replanting of mangroves. Increase stakeholder capacity to participate in climate change adaptation strategies, build awareness and understanding and potential to increase reef resilience, active participation in national and regional planning for climate change adaptation, strengthen parnerships. Build awareness of fishermen on impacts of climate change and how it will affect their fishing, collaborate with partners to develop supplemental/complementary income generation opportunitei sfor fishing stakeholders.; Improve legislation/policy or funding: Establish policy framework and identify funding mechanisms specifically for implementing climate change adaptation strategies."
15,Turneffe Atoll Marine Reserve,Assessment,Conducted climate change vulnerability assessment,"General assessment of the status of features with respect to various other threats, and a specific ""site reilience assessment"" with respect to climate change; Stressors: Sea level rise, SST rise, increased storm frequency, ocean acidification, decreased precipitation, air temperature changes"
15,Turneffe Atoll Marine Reserve,Design,Design principles applied with explicit climate change context,"Review and re-evaluate MPA boundaries and zoning based on climate change research outputs. Strategies to identify and increase protection of resilient reefs, source populations, and key larval dispersal routes. Investigate mechanisms for direct interventions - coral nurseries, shading of key sites, promoting higher herbivore densities. Strengthen protection of marine trophic structure - maintenance of top predators and herbivores."
15,Turneffe Atoll Marine Reserve,Design,Protect climate refugia,"Review and re-evaluate MPA boundaries and zoning based on climate change research outputs. Strategies to identify and increase protection of resilient reefs, source populations, and key larval dispersal routes. Investigate mechanisms for direct interventions - coral nurseries, shading of key sites, promoting higher herbivore densities. Strengthen protection of marine trophic structure - maintenance of top predators and herbivores."
15,Turneffe Atoll Marine Reserve,Design,Protect critical species or habitats (for cc),"Review and re-evaluate MPA boundaries and zoning based on climate change research outputs. Strategies to identify and increase protection of resilient reefs, source populations, and key larval dispersal routes. Investigate mechanisms for direct interventions - coral nurseries, shading of key sites, promoting higher herbivore densities. Strengthen protection of marine trophic structure - maintenance of top predators and herbivores."
15,Turneffe Atoll Marine Reserve,Design,Adaptive design applied as a climate change strategy,"Review and re-evaluate MPA boundaries and zoning based on climate change research outputs. Strategies to identify and increase protection of resilient reefs, source populations, and key larval dispersal routes. Investigate mechanisms for direct interventions - coral nurseries, shading of key sites, promoting higher herbivore densities. Strengthen protection of marine trophic structure - maintenance of top predators and herbivores."
15,Turneffe Atoll Marine Reserve,Management,Reduction of other threats linked to climate resilience,"""Build stakeholder awareness and understanding of climate change and the potential
to increase reef resilience, by reducing impacts of identified threats"""
15,Turneffe Atoll Marine Reserve,Management,Reducing tourism pressure applied as climate strategy,"Ensure infrastructure is in place to minimize tourism impacts on the reef - signs, mooring buoys, designated dive sites. Ensure effective management and monitoring of low impact tourism development and enforcement against infractions particularly in identified resilient areas. Engage tourism sector in climate change adaptation planning and educate visitors about impacts."
16,Ross Sea Region Marine Protected Area,Objectives,Objectives explicitly connected to climate change,"""to provide reference areas for monitoring natural variability and long-term change, and in particular a Special Research Zone, in which fishing is limited to better gauge the ecosystem effects of climate change and fishing, to provide other opportunities for better understanding the Antarctic marine ecosystem, to underpin the Antarctic toothfish stock assessment by contributing to a robust tagging program, and to improve understanding of toothfish distribution and movement within the Ross Sea region"""
16,Ross Sea Region Marine Protected Area,Objectives,Maintain function/biodiversity in climate change,"""the aim of conserving marine biodiversity in the Convention Area to further the
achievement of the objective of the Convention"""
16,Ross Sea Region Marine Protected Area,Objectives,Provide natural reference area for climate change,"to provide reference areas for monitoring natural variability and long-term change, and in particular a Special Research Zone, in which fishing is limited to better gauge the ecosystem effects of climate change and fishing,"
16,Ross Sea Region Marine Protected Area,Objectives,Monitoring climate effects and/or indicators,"Section of research and monitoring plan devoted to climate change/oceanography: 1) Meteorological and oceanographic research, including satellite remote sensing, to characterize physical properties and dynamics of phyto/zooplankton; 2) Sea-ice remote sensing (type, concentration and extent); 3) Long term monitoring of benthic ecosystem function; 4) Development and validation of high-resolution circulation model of Ross Sea shelf and slope, including resolving effects of sea-ice (especially polynyas), ice-shelf cavity, cross-shelf exchange and deep bottom-water formation in ross sea, biological model; 5) investigate deep bottom water formation nrelevant to globlal oceanic cirtulcation, slope water intrusion and cross-shelf nutrient exchange"
16,Ross Sea Region Marine Protected Area,Objectives,Promote climate change research (or increase cc knowledge),"Section of research and monitoring plan devoted to climate change/oceanography: 1) Meteorological and oceanographic research, including satellite remote sensing, to characterize physical properties and dynamics of phyto/zooplankton; 2) Sea-ice remote sensing (type, concentration and extent); 3) Long term monitoring of benthic ecosystem function; 4) Development and validation of high-resolution circulation model of Ross Sea shelf and slope, including resolving effects of sea-ice (especially polynyas), ice-shelf cavity, cross-shelf exchange and deep bottom-water formation in ross sea, biological model; 5) investigate deep bottom water formation nrelevant to globlal oceanic cirtulcation, slope water intrusion and cross-shelf nutrient exchange"
17,Nijhum Dweep (Nijhum Dwip) National Park,Climate,Discusses protection as climate mitigation strategy,"In reference to their climate change plan- ""By planting protective and productive vegetation, with an elevated mound and ditch structure
interspersed with fish nursery ponds, the FFF model not only provides additional sources of
income, but has also established a 'green shield' surrounding some of Bangladesh's most
vulnerable communities."""
17,Nijhum Dweep (Nijhum Dwip) National Park,Climate,Discusses role of area as carbon sink,"""The planted mangroves play an
important role for coastal protection and carbon sequestration."""
